iter	Passed	Remaining
0	390	77719
1	1115	110421
2	1746	114692
3	2809	137685
4	3441	134226
5	3936	127292
6	4456	122881
7	4857	116586
8	5271	111876
9	5634	107055
10	6001	103113
11	6368	99765
12	6866	98772
13	7425	98653
14	7832	96603
15	8155	93784
16	8513	91643
17	8839	89377
18	9177	87425
19	9787	88085
20	10312	87901
21	10677	86393
22	11023	84832
23	11368	83370
24	11663	81646
25	11977	80157
26	12349	79130
27	12690	77956
28	12996	76633
29	13354	75676
30	13744	74931
31	14083	73937
32	14400	72877
33	14729	71916
34	15087	71124
35	15407	70188
36	15716	69236
37	16045	68405
38	16365	67560
39	16791	67164
40	17195	66686
41	17625	66303
42	17947	65528
43	18260	64740
44	18596	64055
45	18901	63280
46	19231	62604
47	19558	61936
48	19895	61311
49	20222	60668
50	20590	60156
51	21039	59881
52	21344	59201
53	21655	58549
54	21986	57963
55	22352	57477
56	22692	56930
57	23014	56345
58	23335	55767
59	23666	55222
60	23974	54631
61	24314	54120
62	24651	53606
63	25013	53153
64	25388	52729
65	25678	52134
66	25997	51607
67	26391	51231
68	26775	50835
69	27236	50582
70	27536	50031
71	27901	49603
72	28262	49169
73	28574	48653
74	28998	48330
75	29417	47997
76	29839	47666
77	30195	47229
78	30669	46974
79	30993	46490
80	31627	46464
81	32564	46861
82	33368	47037
83	34291	47354
84	35335	47807
85	36562	48466
86	37297	48443
87	37717	48004
88	38098	47516
89	38472	47021
90	38844	46527
91	39185	45999
92	39545	45498
93	39913	45008
94	40778	45071
95	41142	44571
96	41522	44090
97	41878	43587
98	42228	43081
99	42676	42676
100	43198	42343
101	43612	41901
102	43987	41425
103	44339	40928
104	44677	40422
105	45036	39938
106	45376	39439
107	45797	39012
108	46186	38559
109	46678	38191
110	47153	37807
111	47654	37443
112	48016	36968
113	48360	36482
114	48683	35983
115	49029	35504
116	49563	35160
117	49920	34690
118	50196	34167
119	50527	33684
120	50899	33232
121	51388	32854
122	52032	32573
123	52487	32169
124	53197	31918
125	53735	31559
126	54204	31156
127	54622	30724
128	55054	30301
129	55617	29948
130	56069	29532
131	56482	29097
132	56906	28667
133	57321	28232
134	57785	27822
135	58251	27412
136	58759	27020
137	59296	26640
138	59858	26268
139	60465	25913
140	61216	25615
141	61796	25240
142	62523	24921
143	63357	24638
144	64134	24326
145	64878	23996
146	65472	23605
147	65918	23160
148	66371	22717
149	66757	22252
150	67170	21797
151	67587	21343
152	67963	20877
153	68362	20419
154	68787	19970
155	69217	19523
156	69594	19060
157	69950	18594
158	70338	18137
159	70661	17665
160	71046	17210
161	71369	16741
162	71669	16268
163	72139	15835
164	72522	15383
165	72942	14940
166	73276	14479
167	73653	14029
168	73963	13567
169	74312	13113
170	74635	12657
171	74961	12203
172	75312	11754
173	75719	11314
174	76048	10864
175	76366	10413
176	76674	9963
177	76760	9487
178	77060	9040
179	77381	8597
180	77740	8160
181	78118	7726
182	78480	7290
183	78844	6856
184	79157	6418
185	79500	5983
186	79834	5549
187	80133	5114
188	80493	4684
189	80851	4255
190	81155	3824
191	81502	3395
192	81887	2970
193	82228	2543
194	82574	2117
195	82976	1693
196	83431	1270
197	83759	846
198	84204	423
199	84707	0
